Alumno,Codigo,Asignatura,UV,Seccion,Año,Periodo,Calificacion
20181002352,EG011,ESPAÑOL GENERAL,4,904,2018,1,74
20181002352,BI130,EDUCACION AMBIENTAL OPTATIVA,3,800,2018,1,70
20181002352,MM110,MATEMATICA I,5,1001,2018,1,65
20181002352,IS110,INTROD.A LA ING.EN SISTEMAS,3,1101,2018,1,52
20181002352,HH101,HISTORIA DE HONDURAS,4,704,2018,1,65
20181002352,AN112,INTRODUCCION AL SISTEMA SOLAR,3,1000,2018,2,74
20181002352,FF101,FILOSOFIA I,4,1705,2018,2,85
20181002352,EO025,REDACCION GENERAL OPTATIVA,3,1103,2018,2,68
20181002352,MM111,GEOMETRIA Y TRIGONOMETRIA,5,1201,2018,2,46
20181002352,MM111,GEOMETRIA Y TRIGONOMETRIA,5,1401,2018,3,71
20181002352,MM211,VECTORES Y MATRICES,3,1000,2018,3,49
20181002352,MM201,CALCULO I,5,1400,2019,1,63
20181002352,IS110,INTROD.A LA ING.EN SISTEMAS,3,1000,2019,1,68
20181002352,MM211,VECTORES Y MATRICES,3,1500,2019,1,58
20181002352,MM314,PROGRAMACION,3,1100,2019,2,65
20181002352,MM201,CALCULO I,5,600,2019,2,68
20181002352,MM211,VECTORES Y MATRICES,3,701,2019,2,73
20181002352,FS100,FISICA GENERAL I,5,700,2020,1,73
20181002352,ILS122,INTROD.A LA LENGUA DE SENAS,3,900,2020,1,93
20181002352,IS210,PROGRAMACION II,4,801,2020,1,89
20181002352,MM202,CALCULO II,5,1300,2020,1,85
20181002352,SC101,SOCIOLOGIA,4,1402,2020,2,97
20181002352,IS310,ALGORISTMOS Y ESTRUCTURA DE DATOS,4,1800,2020,2,100
20181002352,MM411,ECUACIONES DIFERENCIALES,3,800,2020,2,78
20181002352,FS200,FISICA GENERAL II,5,1600,2020,3,77
20181002352,DQ101,DIBUJO I,2,1001,2020,3,86
20181002352,MM420,MATEMATICA DISCRETA,4,1500,2021,1,68
20181002352,MM401,ESTADISTICA I,3,900,2021,1,74
20181002352,IS410,PROGRAMACION ORIENTADA A OBJETOS,5,700,2021,1,97
20181002352,IS311,CIRCUITOS ELECTRICOS ING.SIST,3,1300,2021,1,73
20181002352,IS501,BASE DE DATOS I,5,2000,2021,2,82
20181002352,IS411,ELECTRONICA PARA IS,3,1300,2021,2,78
20181002352,IS513,LENGUAJES DE PROGRAMACION,4,1800,2021,2,67
20181002352,IS412,SISTEMAS OPERATIVOS I,5,1900,2021,2,84
20181002352,IS510,INSTALACIONES ELECTRICAS PARA IS,3,1200,2021,3,65
20181002352,IS511,REDES DE DATOS I,4,1500,2021,3,68
20181002352,IS720,ADMINISTRACION I,4,1600,2021,3,73
20181002352,RR181,PRIMEROS AUXILIOS,3,1402,2021,3,95
20181002352,IS510,INSTALACIONES ELECTRICAS PARA IS,3,1200,2021,3,65
20181002352,IS511,REDES DE DATOS I,4,1500,2021,3,68
20181002352,IS601,BASE DE DATOS II,4,900,2022,1,13
20181002352,DQ102,DIBUJO II,2,1300,2022,1,91
20181002352,IS603,ARQUITECTURA DE COMPUTADORES,4,2000,2022,1,82
20181002352,IN101,INGLES I,4,1400,2022,4,88
